Sl No.,BBMP Code,Job Number,Work Order Number,Work Order Date,Total Amount in Rs,Deduction in Rs,Net Payment in Rs ,Work Order Details,Contractor
3976,303,303-14-000007,WO-000003,25/01/2017,21551600,3196540,18355060,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3977,303,303-14-000007,WO-000003,25/01/2017,22697200,3363791,19333409,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3978,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3979,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3980,303,303-14-000007,WO-000003,25/01/2017,27780800,3716791,24064009,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3981,303,303-14-000007,WO-000003,25/01/2017,684020,68402,615618,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3982,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3983,303,303-14-000007,WO-000003,25/01/2017,53843200,6919414,46923786,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3984,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3985,303,303-14-000007,WO-000003,25/01/2017,655500,65550,589950,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3986,303,303-14-000007,WO-000003,25/01/2017,171005,17100,153905,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3987,303,303-14-000007,WO-000003,25/01/2017,21229400,3099500,18129900,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3988,303,303-14-000007,WO-000003,25/01/2017,28675800,4186675,24489125,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3989,303,303-14-000007,WO-000003,25/01/2017,30573200,4463700,26109500,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3990,303,303-14-000007,WO-000003,25/01/2017,684021,68402,615619,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3991,303,303-14-000007,WO-000003,25/01/2017,31002800,4884386,26118414,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3992,303,303-14-000007,WO-000003,25/01/2017,30322600,4427255,25895345,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3993,303,303-14-000007,WO-000003,25/01/2017,29356000,4285980,25070020,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3994,303,303-14-000007,WO-000003,25/01/2017,684021,68405,615616,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3995,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3996,303,303-14-000007,WO-000003,25/01/2017,145215,10812,134403,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s.S.N.Agencies
3997,303,303-14-000007,WO-000003,25/01/2017,21551600,3196540,18355060,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3998,303,303-14-000007,WO-000003,25/01/2017,22697200,3363791,19333409,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3999,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
4000,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
4001,303,303-14-000007,WO-000003,25/01/2017,27780800,3716791,24064009,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
4002,303,303-14-000007,WO-000003,25/01/2017,684020,68402,615618,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
4003,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
4004,303,303-14-000007,WO-000003,25/01/2017,53843200,6919414,46923786,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
4005,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
4006,303,303-14-000007,WO-000003,25/01/2017,655500,65550,589950,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
4007,303,303-14-000007,WO-000003,25/01/2017,171005,17100,153905,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
4008,303,303-14-000007,WO-000003,25/01/2017,21229400,3099500,18129900,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
4009,303,303-14-000007,WO-000003,25/01/2017,28675800,4186675,24489125,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
4010,303,303-14-000007,WO-000003,25/01/2017,30573200,4463700,26109500,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
4011,303,303-14-000007,WO-000003,25/01/2017,684021,68402,615619,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
4012,303,303-14-000007,WO-000003,25/01/2017,31002800,4884386,26118414,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
4013,303,303-14-000007,WO-000003,25/01/2017,30322600,4427255,25895345,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
4014,303,303-14-000007,WO-000003,25/01/2017,29356000,4285980,25070020,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
